,quarter,ticker,industry,sector,debt_to_assets,mkt_cap,stock_price,book_to_market,earnings_yield,mkt_cap_rank
813,2024Q1,ASLE,"Airlines, Airports & Air Services",Industrials,0.14750548370282,380479013080.0,7.18,1.187931487577123,0.0167130919220055,23
814,2024Q2,ASLE,"Airlines, Airports & Air Services",Industrials,0.1893438050155839,366963164280.0,6.92,1.225733380849078,-0.0099132947976878,25
815,2024Q3,ASLE,"Airlines, Airports & Air Services",Industrials,0.0447713548455747,268774948100.0,5.05,1.6803824429325034,0.0019009900990099,35
816,2024Q4,ASLE,"Airlines, Airports & Air Services",Industrials,0.1256277667626334,329731025400.0,6.3,1.3588290461256958,0.008063492063492,29
817,2024Q1,ASML,Semiconductors,Technology,0.1181273788118619,381782898000.0,961.07,0.0364841299232078,0.0032359765677838,21
818,2024Q2,ASML,Semiconductors,Technology,0.1131096438477209,402137436000.0,1014.61,0.0368752906606202,0.0039522575176668,22
819,2024Q3,ASML,Semiconductors,Technology,0.1123447006064727,327912457974.0,827.94,0.0496138782325354,0.0063772737154866,28
820,2024Q4,ASML,Semiconductors,Technology,0.0756808041226929,272750754723.0,690.02,0.0680428482594489,0.0099127561519955,34
849,2024Q1,ASX,Semiconductors,Technology,0.2845329053369921,23697126637.0,10.76,12.542287479375618,0.2453531598513011,486
850,2024Q2,ASX,Semiconductors,Technology,0.2504102840215273,24650937920.0,11.18,12.528462744981455,0.3220035778175313,455
851,2024Q3,ASX,Semiconductors,Technology,0.2873561875226538,21952938137.0,9.76,14.235812904393107,0.444672131147541,495
852,2024Q4,ASX,Semiconductors,Technology,0.2613745953141496,22650213836.0,10.07,14.675118711776026,0.4111221449851042,492
950,2024Q1,AVGO,Semiconductors,Technology,0.427053466014505,616311000000.0,130.93,0.1187623731927281,0.0022149240051936,11
951,2024Q2,AVGO,Semiconductors,Technology,0.422736015432821,748644650000.0,159.11,0.0945595898691849,0.0028910816416315,11
952,2024Q3,AVGO,Semiconductors,Technology,0.4168700808496958,804367500000.0,171.52,0.0820845009618431,-0.0023320895522388,11
953,2024Q4,AVGO,Semiconductors,Technology,0.4078964049624196,1084779360000.0,231.14,0.0590887655136976,-0.0013844423293242,8
982,2024Q1,AWK,Regulated Water,Utilities,0.424757125394068,23830950000.0,118.73,0.4322239427099192,0.0080013475953844,481
983,2024Q2,AWK,Regulated Water,Utilities,0.4233541566554541,25186200000.0,126.19,0.412564691826123,0.0112528726523496,446
984,2024Q3,AWK,Regulated Water,Utilities,0.4223655237496068,28516800000.0,143.65,0.3699161958820852,0.0124608423250957,415
985,2024Q4,AWK,Regulated Water,Utilities,0.4168266816342205,24275550000.0,122.98,0.4308392859376759,0.010001626280696,467
1028,2024Q1,AZN,Drug Manufacturers - General,Healthcare,0.3391629925801374,209889500000.0,66.41,0.182003165382332,0.0106911609697334,47
1029,2024Q2,AZN,Drug Manufacturers - General,Healthcare,0.3224554341575618,242397951602.0,76.45,0.1662882252647874,0.008109875735775,40
1030,2024Q3,AZN,Drug Manufacturers - General,Healthcare,0.3008139379729704,242149306441.0,76.83,0.1705203618192362,0.0059872445659247,40
1031,2024Q4,AZN,Drug Manufacturers - General,Healthcare,0.289460277791128,406224000000.0,64.61,0.1018168564738305,0.0038693700665531,22
1032,2024Q1,AZO,Specialty Retail,Consumer Cyclical,0.7252935728900718,54438450450.0,3151.65,-0.0886225237855556,0.0094363270033157,248
1033,2024Q2,AZO,Specialty Retail,Consumer Cyclical,0.7167514240931021,50478623000.0,2964.1,-0.0944988479469128,0.0127289902499915,255
1034,2024Q3,AZO,Specialty Retail,Consumer Cyclical,0.7422556862156973,54722063324.0,3150.04,-0.0885375702673551,0.0168188340465517,244
1035,2024Q4,AZO,Specialty Retail,Consumer Cyclical,0.888518176304017,55225499178.0,3202.0,-0.0840080135726272,0.010156152404747,256
1056,2024Q1,BABA,Specialty Retail,Consumer Cyclical,0.1165064717318221,178756335000.0,70.84,5.637350314381833,0.0191981931112365,62
1057,2024Q2,BABA,Specialty Retail,Consumer Cyclical,0.1164877925261644,177592848696.0,72.0,5.392156862745098,0.14,63
1058,2024Q3,BABA,Specialty Retail,Consumer Cyclical,0.1147436450197196,261752126439.0,106.12,3.833107444160464,0.1764040708631737,38
1059,2024Q4,BABA,Specialty Retail,Consumer Cyclical,0.1248153602980974,204190114172.0,84.79,5.082173189744313,0.2481424696308526,49
1145,2024Q3,BBY,Specialty Retail,Consumer Cyclical,0.3012032770097286,22312800000.0,100.92,0.1425313045903612,0.0133769322235434,486
1169,2024Q1,BCE,Telecommunications Services,Communication Services,0.5190927005388124,30999953999.0,30.77,0.7142126609610162,0.0142996425089372,407
1170,2024Q2,BCE,Telecommunications Services,Communication Services,0.5320753700486215,29531150999.0,29.96,0.7204973652619072,0.0196929238985313,407
1171,2024Q3,BCE,Telecommunications Services,Communication Services,0.5511991858738104,31748039999.0,32.89,0.5891577314021303,-0.0413499543934326,390
1212,2024Q1,BDX,Medical - Instruments & Supplies,Healthcare,0.3325701202060675,71641229100.0,243.2,0.3642482141824833,0.0076069078947368,189
1213,2024Q2,BDX,Medical - Instruments & Supplies,Healthcare,0.3476485193048109,67673535020.0,230.61,0.3873853108895055,0.0072850266684011,196
